system:index,LST_jour_C,LST_nuit_C,amplitude_C,annee,date,jour,mois,source,zone,.geo
1_1_1_1_1_1_1_1_2_2000_03_22,18.303154312354252,-4.1299999999999955,22.433154312354247,2000,2000-03-22,22,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_23,-9999,-9999,-9999,2000,2000-03-23,23,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_24,19.075510720175828,-9999,-9999,2000,2000-03-24,24,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_25,19.264764418377354,8.498934931506938,10.765829486870416,2000,2000-03-25,25,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_26,19.228154975102655,-9999,-9999,2000,2000-03-26,26,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_27,16.56622165357811,-9999,-9999,2000,2000-03-27,27,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_28,11.294715556301412,-9999,-9999,2000,2000-03-28,28,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_29,12.165146847670087,6.974811499864302,5.190335347805785,2000,2000-03-29,29,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_30,21.203629242819886,7.117773966419975,14.085855276399911,2000,2000-03-30,30,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_03_31,-9999,-9999,-9999,2000,2000-03-31,31,3,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_01,19.30697896395145,5.687829835692185,13.619149128259266,2000,2000-04-01,1,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_02,12.28680545041641,-9999,-9999,2000,2000-04-02,2,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_03,-9999,-9999,-9999,2000,2000-04-03,3,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_04,21.79424588086181,10.579553030302975,11.214692850558833,2000,2000-04-04,4,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_05,17.941347901341373,9.50599556500049,8.435352336340884,2000,2000-04-05,5,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_06,17.10313062612522,7.63422607921666,9.468904546908561,2000,2000-04-06,6,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_07,20.103907374481366,8.551425287356267,11.5524820871251,2000,2000-04-07,7,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_08,23.561671781910093,-9999,-9999,2000,2000-04-08,8,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_09,-9999,-9999,-9999,2000,2000-04-09,9,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_10,-9999,-9999,-9999,2000,2000-04-10,10,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_11,-9999,-9999,-9999,2000,2000-04-11,11,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_12,-9999,-9999,-9999,2000,2000-04-12,12,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_13,16.441966904851483,-9999,-9999,2000,2000-04-13,13,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_04_14,-9999,-9999,-9999,2000,2000-04-14,14,4,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
