POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
13054001;20060101;0,2;1;10;9;3,7;1;812;9;10,7;1;1335;9;6,8;1;7,20;1;2,3;1;3,2;9;0;9;7,0;1;7,2;1;1009,7;9;;;3,9;1;10,0;1;310;9;1137;9;8,0;1;320;9;1144;9;;;;;;;;;9,5;9;310;9;1137;9;56;1;1326;9;96;1;4;9;0;9;1058;9;7,4;1;;;83;9;395;1;762;1;;;;;75;1;;;;;;;;;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;1;1;0;9;1,0;1;1,0;9;;;;;;;;;0;9;0;9
13054001;20060102;0,0;1;0;9;3,3;1;214;9;9,1;1;1031;9;6,2;1;6,20;1;0,3;1;1,9;9;0;9;5,8;1;6,2;1;1012,4;9;;;8,3;1;21,0;1;350;9;1147;9;15,0;1;350;9;1151;9;;;;;;;;;19,8;9;350;9;1147;9;65;1;1020;9;92;1;318;9;0;9;537;9;7,3;1;;;77;9;405;1;690;1;;;;;76;1;;;;;;;;;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;1,2;1;1,3;9;;;;;;;;;0;9;0;9
13054001;20060103;0,0;1;0;9;4,0;1;706;9;9,2;1;1311;9;5,7;1;6,60;1;2,6;1;3,5;9;0;9;5,2;1;6,6;1;1019,3;9;;;7,5;1;14,0;1;360;9;514;9;10,0;1;360;9;333;9;;;;;;;;;13,3;9;360;9;514;9;47;1;1414;9;81;1;2359;9;0;9;10;9;6,0;1;;;63;9;478;1;784;1;;;;;90;1;;;;;;;;;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;1,8;1;1,7;9;;;;;;;;;0;9;0;9
13054001;20060104;0,0;1;0;9;-0,3;1;511;9;8,5;1;1327;9;2,3;1;4,10;1;-3,9;1;-1,8;9;320;9;8,8;1;4,1;1;1018,6;9;;;3,3;1;8,0;1;350;9;1112;9;6,0;1;360;9;539;9;;;;;;;;;7,7;9;350;9;1112;9;51;1;1250;9;91;1;2325;9;0;9;827;9;5,5;1;;;76;9;479;1;782;1;;;;;90;1;;;;;;;;;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0,9;1;0,9;9;;;;;;;;;0;9;0;9
13054001;20060105;7,4;1;357;9;-3,1;1;335;9;8,5;1;2051;9;3,0;1;2,70;1;-7,0;1;-4,8;9;435;9;11,6;1;2,7;1;1015,2;9;;;2,8;1;13,0;1;130;9;2024;9;9,0;1;140;9;2033;9;;;;;;;;;12,4;9;130;9;2024;9;64;1;2049;9;94;1;505;9;0;9;1203;9;5,8;1;;;86;9;0;1;193;1;;;;;0;1;;;;;;;;;0;9;0;9;1;9;0;9;0;9;0;9;0;9;0;9;1;9;0;9;1;9;0;1;0,8;1;0,8;9;;;;;;;;;0;9;0;9
13054001;20060106;0,6;1;381;9;4,3;1;549;9;10,2;1;533;9;7,7;1;7,25;1;3,3;1;3,7;9;0;9;5,9;1;7,3;1;1015,9;9;;;3,6;1;16,0;1;160;9;1101;9;12,0;1;150;9;1110;9;;;;;;;;;15,2;9;160;9;1101;9;59;1;2359;9;94;1;510;9;0;9;476;9;7,6;1;;;76;9;0;1;188;1;;;;;0;1;;;;;5;9;250;9;0;1;0;9;1;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;1;0;9;1,1;1;1,2;9;;;;;;;;;0;9;0;9
13054001;20060107;0,0;1;85;9;8,2;1;2128;9;11,6;1;1124;9;10,2;1;9,90;1;5,5;1;5,9;9;0;9;3,4;1;9,9;1;1020,9;9;;;5,1;1;13,0;1;100;9;137;9;9,0;1;100;9;137;9;;;;;;;;;12,4;9;100;9;137;9;48;1;1314;9;62;1;52;9;0;9;0;9;6,6;1;;;55;9;0;1;189;1;;;;;0;1;;;;;;;;;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;2,2;1;2,0;9;;;;;;;;;0;9;0;9
13054001;20060108;0,0;1;0;9;8,7;1;221;9;13,7;1;1306;9;9,2;1;11,20;1;4,9;1;7,4;9;0;9;5,0;1;11,2;1;1024,0;9;;;3,7;1;12,0;1;100;9;758;9;8,0;1;100;9;820;9;;;;;;;;;11,4;9;100;9;758;9;39;1;1336;9;84;1;2337;9;19;9;110;9;7,8;1;;;58;9;280;1;643;1;;;;;52;1;;;;;;;;;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;1,7;1;1,7;9;;;;;;;;;0;9;0;9
13054001;20060109;0,0;1;0;9;-0,6;1;710;9;11,3;1;1431;9;4,3;1;5,35;1;-4,7;1;-2,6;9;198;9;11,9;1;5,4;1;1027,2;9;;;1,1;1;4,0;1;30;9;1934;9;3,0;1;160;9;158;9;;;;;;;;;3,8;9;30;9;1934;9;53;1;1432;9;94;1;806;9;0;9;867;9;6,3;1;;;79;9;447;1;751;1;;;;;83;1;;;;;;;;;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0,5;1;0,6;9;;;;;;;;;0;9;0;9
13054001;20060110;0,0;1;0;9;0,0;1;725;9;10,5;1;1430;9;3,4;1;5,25;1;-4,0;1;-1,6;9;122;9;10,5;1;5,3;1;1028,7;9;;;1,3;1;5,0;1;320;9;1630;9;4,0;1;320;9;1636;9;;;;;;;;;4,8;9;320;9;1630;9;56;1;1425;9;95;1;758;9;0;9;1097;9;6,5;1;;;85;9;480;1;773;1;;;;;89;1;;;;;;;;;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;1;9;0;9;0;9;0;9;0,5;1;0,6;9;;;;;;;;;0;9;0;9
13054001;20060111;0,0;1;0;9;-2,3;1;407;9;11,2;1;1506;9;2,2;1;4,45;1;-6,9;1;-4,2;9;675;9;13,5;1;4,5;1;1029,4;9;;;1,0;1;5,0;1;340;9;2132;9;4,0;1;340;9;2138;9;;;;;;;;;4,8;9;340;9;2132;9;44;1;1506;9;96;1;815;9;0;9;986;9;5,4;1;;;80;9;495;1;842;1;;;;;92;1;;;;;;;;;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;1;9;0;9;0;9;0;9;0,5;1;0,7;9;;;;;;;;;0;9;0;9
13054001;20060112;0,0;1;0;9;-2,4;1;532;9;10,2;1;1504;9;1,9;1;3,90;1;-7,1;1;-3,8;9;649;9;12,6;1;3,9;1;1028,5;9;;;1,7;1;4,0;1;160;9;143;9;4,0;1;160;9;149;9;;;;;;;;;3,8;9;160;9;143;9;40;1;1505;9;91;1;552;9;2;9;753;9;4,8;1;;;75;9;277;1;720;1;;;;;51;1;;;;;;;;;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0,8;1;0,9;9;;;;;;;;;0;9;0;9
13054001;20060113;0,0;1;0;9;-1,6;1;323;9;13,9;1;1311;9;4,9;1;6,15;1;-5,0;1;-2,8;9;481;9;15,5;1;6,2;1;1029,4;9;;;2,1;1;10,0;1;180;9;1311;9;6,0;1;160;9;1329;9;;;;;;;;;9,5;9;180;9;1311;9;42;1;1246;9;92;1;517;9;0;9;517;9;5,8;1;;;72;9;486;1;813;1;;;;;89;1;;;;;;;;;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;1,1;1;1,1;9;;;;;;;;;0;9;0;9
13054001;20060114;0,0;1;0;9;1,3;1;736;9;12,2;1;1155;9;4,9;1;6,75;1;-1,0;1;0,2;9;128;9;10,9;1;6,8;1;1028,0;9;;;1,6;1;6,0;1;70;9;444;9;4,0;1;90;9;1044;9;;;;;;;;;5,8;9;70;9;444;9;48;1;1155;9;91;1;2229;9;0;9;373;9;6,5;1;;;72;9;499;1;852;1;;;;;91;1;;;;;;;;;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0,8;1;0,9;9;;;;;;;;;0;9;0;9
13054001;20060115;0,0;1;0;9;-1,3;1;231;1;12,1;1;1255;9;6,3;1;5,40;1;-6,3;1;-3,8;9;224;9;13,4;1;5,4;1;1024,3;9;;;4,2;1;15,0;1;140;9;1126;9;9,0;1;140;9;1050;9;;;;;;;;;14,2;9;140;9;1126;9;41;1;1306;9;93;1;47;9;0;9;294;9;5,5;1;;;61;9;406;1;776;1;;;;;74;1;;;;;;;;;0;9;0;9;0;9;0;9;0;9;0;9;0;9;0;9;1;9;0;9;0;9;0;9;1,6;1;1,6;9;;;;;;;;;0;9;0;9
