POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
13054001;19930101;0,0;1;;;-4,4;1;733;1;7,1;1;1308;1;0,3;1;1,35;1;-7,8;1;-6,7;1;810;1;11,5;1;1,4;1;1023,7;1;;;1,6;1;5,0;1;60;1;441;1;4,0;1;330;1;1124;1;;;;;;;;;4,8;1;60;1;441;1;56;1;1306;1;94;1;813;1;0;1;924;1;4,9;1;;;81;1;420;1;700;1;280;1;;;79;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;0;1;0;9;0;9;1;1;0;9;0;9;0;9;0,5;1;0,8;9;;;;;;;;;;1;;
13054001;19930102;1,4;1;;;-3,0;1;314;1;5,5;1;1403;1;1,1;1;1,25;1;-6,5;1;-5,3;1;510;1;8,5;1;1,3;1;1023,5;1;;;1,7;1;6,0;1;360;1;1622;1;6,0;1;10;1;1711;1;;;;;;;;;5,7;1;360;1;1622;1;75;1;1913;1;97;1;753;1;0;1;1334;1;5,8;1;;;89;1;2;1;267;1;264;1;;;0;1;;;;;7;1;240;1;1;1;0;1;0;1;0;1;0;1;0;1;1;9;1;9;1;1;0;9;0;9;0;9;0,5;1;0,6;9;;;;;;;;;1;1;;
13054001;19930103;0,0;1;;;-1,4;1;734;1;2,8;1;1514;1;-0,1;1;0,70;1;-4,1;1;-3,0;1;834;1;4,2;1;0,7;1;1024,1;1;;;2,3;1;7,0;1;40;1;248;1;6,0;1;30;1;249;1;;;;;;;;;6,7;1;40;1;248;1;63;1;1515;1;94;1;158;1;0;1;973;1;4,9;1;;;82;1;249;1;574;1;346;1;;;46;1;;;;;;;;;1;1;0;1;0;1;0;1;0;1;0;1;0;9;1;9;0;1;0;9;1;9;0;9;0,5;1;0,6;9;;;;;;;;;1;1;1;1
13054001;19930104;0,0;1;;;-4,6;1;701;1;6,0;1;1339;1;-0,7;1;0,70;1;-8,2;1;-6,9;1;918;1;10,6;1;0,7;1;1029,5;1;;;1,4;1;5,0;1;180;1;447;1;4,0;1;170;1;448;1;;;;;;;;;4,8;1;180;1;447;1;68;1;1339;1;95;1;811;1;0;1;1047;1;5,2;1;;;86;1;256;1;557;1;368;1;;;47;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;0;1;0;9;0;9;1;1;0;9;1;9;0;9;0,4;1;0,6;9;;;;;;;;;;1;;
13054001;19930105;0,0;1;;;-3,1;1;542;1;9,2;1;1347;1;1,0;1;3,05;1;-6,6;1;-5,2;1;822;1;12,3;1;3,1;1;1036,3;1;;;1,2;1;5,0;1;160;1;339;1;4,0;1;150;1;340;1;;;;;;;;;4,8;1;160;1;339;1;42;1;1450;1;95;1;45;1;0;1;881;1;4,8;1;;;76;1;386;1;701;1;255;1;;;72;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;0;1;0;9;0;9;1;1;0;9;0;9;0;9;0,6;1;0,8;9;;;;;;;;;;1;;
13054001;19930106;0,0;1;;;-3,5;1;622;1;11,3;1;1417;1;1,8;1;3,90;1;-6,7;1;-5,1;1;636;1;14,8;1;3,9;1;1035,4;1;;;0,9;1;4,0;1;160;1;149;1;3,0;1;160;1;152;1;;;;;;;;;3,8;1;160;1;149;1;31;1;1417;1;90;1;658;1;169;1;711;1;4,2;1;;;70;1;433;1;694;1;263;1;;;80;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;0;1;0;9;0;9;1;1;0;9;0;9;0;9;0,6;1;0,8;9;;;;;;;;;;1;;
13054001;19930107;0,0;1;;;-2,0;1;58;1;12,7;1;1912;1;5,4;1;5,35;1;-4,8;1;-3,9;1;504;1;14,7;1;5,4;1;1028,7;1;;;3,0;1;15,0;1;320;1;2053;1;11,0;1;340;1;2026;1;;;;;;;;;14,2;1;320;1;2053;1;46;1;1254;1;91;1;743;1;0;1;640;1;5,8;1;;;76;1;356;1;616;1;330;1;;;66;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;0;1;0;9;0;9;1;1;0;9;0;9;0;9;1,3;1;1,3;9;;;;;;;;;;1;;
13054001;19930108;0,0;1;;;6,8;1;302;1;15,1;1;1307;1;10,5;1;10,95;1;3,9;1;5,0;1;0;1;8,3;1;11,0;1;1025,3;1;;;6,5;1;16,0;1;360;1;856;1;13,0;1;350;1;858;1;;;;;;;;;15,1;1;360;1;856;1;58;1;1318;1;93;1;2358;1;0;1;569;1;9,6;1;;;75;1;426;1;699;1;305;1;;;79;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;0;1;0;9;0;9;0;1;0;9;0;9;0;9;1,7;1;1,7;9;;;;;;;;;;1;;
13054001;19930109;0,0;1;;;2,2;1;444;1;12,1;1;1444;1;6,2;1;7,15;1;-1,3;1;-0,2;1;0;1;9,9;1;7,2;1;1029,6;1;;;1,0;1;4,0;1;160;1;0;1;4,0;1;160;1;255;1;;;;;;;;;3,8;1;160;1;0;1;80;1;1438;1;98;1;705;1;0;1;1440;1;9,2;1;;;92;1;94;1;339;1;280;1;;;17;1;;;;;;;;;0;1;1;1;0;1;0;1;0;1;1;1;0;9;0;9;0;1;0;9;1;9;0;9;0,5;1;0,5;9;;;;;;;;;;1;;
13054001;19930110;0,0;1;;;2,5;1;528;1;11,9;1;121;1;6,3;1;7,20;1;-0,1;1;1,3;1;0;1;9,4;1;7,2;1;1028,3;1;;;1,5;1;6,0;1;140;1;2038;1;4,0;1;140;1;1926;1;;;;;;;;;5,7;1;140;1;2038;1;88;1;2358;1;100;1;333;1;0;1;1439;1;9,8;1;;;97;1;182;1;540;1;360;1;;;33;1;;;;;8;1;0;1;0;1;1;1;0;1;0;1;0;1;0;1;0;9;0;9;0;1;0;9;1;9;0;9;0,4;1;0,5;9;;;;;;;;;;1;;
