POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
13054001;20180101;0,0;1;23;9;6,5;1;625;9;12,9;1;1137;9;9,6;1;9,70;1;5,6;1;5,9;1;0;9;6,4;1;9,7;1;1018,4;9;1015,6;9;5,9;1;14,2;1;260;1;2049;9;10,9;1;290;1;10;9;;;;;;;;;13,8;1;260;1;2049;9;47;1;1227;9;89;1;31;9;0;9;73;9;7,8;1;;;70;9;310;1;649;1;;;;;59;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;;;;;;0;9;0;9;;;1,8;1;1,7;9;;;;;;;;;0;1;0;1
13054001;20180102;0,0;1;0;9;5,5;1;706;9;13,5;1;1254;9;8,4;1;9,50;1;4,0;1;4,3;1;0;9;8,0;1;9,5;1;1021,7;9;1019,1;9;4,0;1;11,5;1;310;1;1110;9;8,6;1;290;1;5;9;;;;;;;;;11,4;1;310;1;1110;9;42;1;1244;9;80;1;2302;9;0;9;14;9;6,9;1;;;65;9;315;1;648;1;;;;;59;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;;;;;;0;9;0;9;;;1,7;1;1,7;9;;;;;;;;;0;1;0;1
13054001;20180103;0,0;1;55;9;4,2;1;353;9;16,7;1;1212;9;11,2;1;10,45;1;2,4;1;2,7;1;0;9;12,5;1;10,5;1;1018,1;9;1015,7;9;4,6;1;15,7;1;280;1;1954;9;11,2;1;240;1;1033;9;;;;;;;;;14,8;1;280;1;1954;9;48;1;1512;9;86;1;715;9;0;9;419;9;8,1;1;;;69;9;30;1;379;1;;;;;6;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;;;;;;0;9;0;9;;;2,0;1;2,0;9;;;;;;;;;0;1;0;1
13054001;20180104;0,0;1;0;9;8,7;1;319;9;16,8;1;1158;9;12,4;1;12,75;1;6,5;1;6,7;1;0;9;8,1;1;12,8;1;1014,0;9;1012,0;9;5,5;1;17,8;1;270;1;1004;9;12,8;1;270;1;1147;9;;;;;;;;;16,9;1;270;1;1010;9;55;1;1413;9;85;1;724;9;0;9;205;9;10,0;1;;;71;9;159;1;497;1;;;;;30;1;;;;;;;;;0;1;0;1;;;;;;;;;;;;;;;0;9;0;9;;;1,9;1;1,9;9;;;;;;;;;0;1;0;1
13054001;20180105;0,0;1;0;9;7,4;1;435;9;19,3;1;1304;9;13,0;1;13,35;1;5,6;1;6,1;1;0;9;11,9;1;13,4;1;1008,0;9;1005,3;9;3,3;1;11,5;1;120;1;2356;9;8,0;1;110;9;2356;9;;;;;;;;;11,3;1;120;1;2356;9;54;1;1219;9;88;1;444;9;0;9;337;9;10,6;1;;;73;9;436;1;736;1;;;;;82;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;;;;;;0;9;0;9;;;1,5;1;1,5;9;;;;;;;;;0;1;0;1
13054001;20180106;0,0;1;0;9;12,9;1;650;9;17,4;1;1215;9;14,8;1;15,15;1;12,0;1;12,4;1;0;9;4,5;1;15,2;1;1005,7;9;1004,6;9;8,1;1;19,8;1;80;1;2229;9;13,2;1;80;9;2302;9;;;;;;;;;19,2;1;80;1;2229;9;54;1;1237;9;75;1;143;9;0;9;0;9;10,9;1;;;64;9;171;1;534;1;;;;;32;1;;;;;;;;;0;1;0;1;0;9;;;;;;;0;1;;;0;1;0;9;0;9;;;2,8;1;2,5;9;;;;;;;;;0;1;0;1
13054001;20180107;0,0;1;0;9;14,3;1;2041;9;19,1;1;1259;9;16,8;1;16,70;1;13,5;1;13,9;1;0;9;4,8;1;16,7;1;1006,8;9;1004,1;9;12,7;1;24,7;1;80;1;1517;9;16,2;1;80;1;1048;9;;;;;;;;;24,1;1;80;1;1517;9;47;1;1251;9;61;1;632;9;0;9;0;9;10,2;1;;;54;9;327;1;690;1;;;;;61;1;;;;;;;;;0;1;0;1;0;9;;;;;;;0;1;;;0;1;0;9;0;9;;;4,5;1;3,9;9;;;;;;;;;0;1;0;1
13054001;20180108;7,0;1;377;9;9,8;1;1745;9;18,7;1;1105;9;14,2;1;14,25;1;9,1;1;9,1;1;0;9;8,9;1;14,3;1;1009,7;9;1007,6;9;7,8;1;21,2;1;110;1;1403;9;14,2;1;80;1;1424;9;;;;;;;;;19,6;1;110;1;1410;9;45;1;1339;9;85;1;1738;9;0;9;66;9;10,0;1;;;64;9;63;1;194;1;;;;;12;1;;;;;;;;;0;1;0;1;1;9;;;;;;;;;;;0;1;0;9;0;9;;;3,0;1;2,5;9;;;;;;;;;0;1;0;1
13054001;20180109;0,0;1;0;9;10,0;1;336;9;14,7;1;1045;9;12,1;1;12,35;1;8,9;1;8,9;1;0;9;4,7;1;12,4;1;1015,2;9;1010,4;9;5,2;1;12,4;1;180;1;1229;9;8,2;1;160;1;1229;9;;;;;;;;;12,0;1;180;1;1229;9;53;1;1050;9;88;1;412;9;0;9;527;9;9,8;1;;;72;9;306;1;652;1;;;;;57;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;;;;0;1;0;9;0;9;;;1,7;1;1,5;9;;;;;;;;;0;1;0;1
13054001;20180110;0,0;1;0;9;11,3;1;1701;9;14,1;1;1154;9;11,7;1;12,70;1;8,0;1;8,5;1;0;9;2,8;1;12,7;1;1013,5;9;1012,2;9;2,3;1;10,6;1;150;1;43;9;6,5;1;140;1;136;9;;;;;;;;;10,1;1;150;1;43;9;56;1;1426;9;88;1;2303;9;0;9;170;9;10,4;1;;;67;9;275;1;583;1;;;;;51;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;;;;;;0;9;0;9;;;1,0;1;1,0;9;;;;;;;;;0;1;0;1
13054001;20180111;0,0;1;0;9;5,3;1;737;9;12,7;1;1447;9;8,8;1;9,00;1;3,1;1;3,6;1;0;9;7,4;1;9,0;1;1012,7;9;1011,2;9;3,4;1;14,6;1;320;1;1212;9;8,7;1;340;1;1301;9;;;;;;;;;11,9;1;320;1;1212;9;56;1;1446;9;90;1;746;9;0;9;550;9;8,1;1;;;74;9;343;1;686;1;;;;;63;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;;;;;;0;9;0;9;;;1,1;1;1,0;9;;;;;;;;;0;1;0;1
13054001;20180112;0,0;1;0;9;1,8;1;617;9;13,2;1;1352;9;6,5;1;7,50;1;0,5;1;0,9;1;0;9;11,4;1;7,5;1;1019,1;9;1015,6;9;2,3;1;8,8;1;300;1;1552;9;5,7;1;310;1;1558;9;;;;;;;;;8,5;1;300;1;1552;9;50;1;1406;9;89;1;636;9;0;9;634;9;6,9;1;;;73;9;479;1;791;1;;;;;88;1;;;;;;;;;0;1;0;1;0;9;;;;;;;1;1;;;;;0;9;0;9;;;1,0;1;1,1;9;;;;;;;;;0;1;0;1
13054001;20180113;0,0;1;0;9;0,4;1;544;9;14,1;1;1331;9;8,0;1;7,25;1;-2,0;1;-1,3;1;0;9;13,7;1;7,3;1;1020,4;9;1018,7;9;2,9;1;8,9;1;140;1;1324;9;6,1;1;170;1;1350;9;;;;;;;;;8,6;1;140;1;1324;9;58;1;932;9;89;1;149;9;0;9;525;9;7,5;1;;;73;9;339;1;675;1;;;;;62;1;;;;;;;;;0;1;0;1;0;9;;;;;;;1;1;;;;;0;9;0;9;;;1,1;1;1,1;9;;;;;;;;;0;1;0;1
13054001;20180114;1,0;1;79;9;9,0;1;638;9;12,7;1;1226;9;10,1;1;10,85;1;8,0;1;8,5;1;0;9;3,7;1;10,9;1;1018,3;9;1016,7;9;5,3;1;12,4;1;70;1;1911;9;8,8;1;70;9;1928;9;;;;;;;;;11,9;1;70;1;1919;9;55;1;1227;9;79;1;1401;9;0;9;0;9;8,6;1;;;65;9;43;1;324;1;;;;;8;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;;;;;;0;9;0;9;;;1,8;1;1,6;9;;;;;;;;;0;1;0;1
13054001;20180115;0,2;1;43;9;7,9;1;550;9;13,0;1;1231;9;9,9;1;10,45;1;7,3;1;7,4;1;0;9;5,1;1;10,5;1;1021,5;9;1019,7;9;1,6;1;8,4;1;90;1;7;9;6,2;1;80;1;9;9;;;;;;;;;8,0;1;90;1;10;9;58;1;1230;9;83;1;2118;9;0;9;155;9;8,8;1;;;71;9;102;1;481;1;;;;;19;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;;;;;;0;9;0;9;;;0,9;1;0,9;9;;;;;;;;;0;1;0;1
13054001;20180116;0,0;1;17;9;8,7;1;2114;9;16,7;1;1346;9;12,8;1;12,70;1;7,3;1;7,8;1;0;9;8,0;1;12,7;1;1015,2;9;1011,1;9;5,5;1;16,0;1;240;1;2149;9;12,3;1;240;9;2155;9;;;;;;;;;15,1;1;240;1;2149;9;55;1;1348;9;86;1;226;9;0;9;330;9;10,1;1;;;73;9;240;1;678;1;;;;;44;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;;;;0;1;0;9;0;9;;;1,9;1;1,7;9;;;;;;;;;0;1;0;1
13054001;20180117;0,0;1;3;9;9,5;1;1759;9;13,4;1;1143;9;10,8;1;11,45;1;8,4;1;8,5;1;0;9;3,9;1;11,5;1;1017,1;9;1010,3;9;9,6;1;23,9;1;280;1;507;9;17,1;1;290;1;514;9;;;;;;;;;22,7;1;280;1;510;9;33;1;1407;9;83;1;252;9;447;9;78;9;7,5;1;;;53;9;476;1;892;1;;;;;86;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;;;;0;1;0;9;0;9;;;3,0;1;2,7;9;;;;;;;;;0;1;0;1
13054001;20180118;0,0;1;0;9;1,5;1;437;9;13,2;1;1147;9;8,2;1;7,35;1;-0,9;1;-0,4;1;0;9;11,7;1;7,4;1;1020,8;9;1017,2;9;3,3;1;9,4;1;220;1;1529;9;7,0;1;240;1;1611;9;;;;;;;;;8,9;1;220;1;1529;9;55;1;19;9;86;1;2335;9;0;9;75;9;7,1;1;;;69;9;467;1;861;1;;;;;85;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;;;;;;0;9;0;9;;;1,2;1;1,2;9;;;;;;;;;0;1;0;1
13054001;20180119;0,0;1;0;9;4,0;1;118;9;14,9;1;1305;9;9,1;1;9,45;1;1,5;1;1,6;1;0;9;10,9;1;9,5;1;1016,5;9;1014,6;9;4,2;1;13,1;1;290;1;1149;9;9,6;1;300;1;1319;9;;;;;;;;;12,7;1;290;1;1149;9;44;1;1203;9;91;1;221;9;0;9;524;9;7,4;1;;;70;9;439;1;856;1;;;;;79;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;;;;;;0;9;0;9;;;1,7;1;1,7;9;;;;;;;;;0;1;0;1
13054001;20180120;0,0;1;34;9;4,0;1;728;9;13,9;1;2326;9;9,7;1;8,95;1;1,6;1;2,5;1;0;9;9,9;1;9,0;1;1015,8;9;1010,5;9;4,7;1;16,7;1;240;1;1645;9;12,1;1;240;1;1638;9;;;;;;;;;16,1;1;240;1;1645;9;52;1;1048;9;78;1;1933;9;0;9;0;9;7,3;1;;;67;9;144;1;324;1;;;;;26;1;;;;;;;;;0;1;0;1;0;9;;;;;;;0;1;;;0;1;0;9;0;9;;;1,9;1;1,8;9;;;;;;;;;0;1;0;1
13054001;20180121;0,0;1;0;9;10,6;1;548;9;15,4;1;1219;9;12,4;1;13,00;1;9,8;1;10,0;1;0;9;4,8;1;13,0;1;1014,7;9;1010,7;9;8,3;1;23,0;1;330;1;1052;9;16,4;1;320;1;1039;9;;;;;;;;;22,5;1;310;1;1116;9;40;1;1050;9;81;1;2253;9;5;9;57;9;8,7;1;;;63;9;504;1;894;1;;;;;90;1;;;;;;;;;0;1;0;1;0;9;;;;;;;0;1;;;0;1;0;9;0;9;;;2,9;1;2,8;9;;;;;;;;;0;1;0;1
13054001;20180122;0,0;1;0;9;8,5;1;2241;9;18,6;1;1230;9;12,7;1;13,55;1;6,1;1;6,9;1;0;9;10,1;1;13,6;1;1018,5;9;1017,6;9;6,9;1;20,4;1;310;1;1251;9;14,4;1;300;1;1258;9;;;;;;;;;19,4;1;310;1;1251;9;45;1;1227;9;81;1;34;9;0;9;16;9;9,3;1;;;67;9;224;1;655;1;;;;;40;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;;;;;;0;9;0;9;;;2,9;1;2,7;9;;;;;;;;;0;1;0;1
13054001;20180123;0,0;1;0;9;10,4;1;719;9;15,7;1;1427;9;11,8;1;13,05;1;9,7;1;10,0;1;0;9;5,3;1;13,1;1;1023,2;9;1019,5;9;7,9;1;22,7;1;320;1;234;9;15,7;1;310;1;502;9;;;;;;;;;21,8;1;320;1;234;9;39;1;1546;9;78;1;2350;9;22;9;0;9;8,4;1;;;56;9;511;1;959;1;;;;;91;1;;;;;;;;;0;1;0;1;0;9;;;;;;;0;1;;;0;1;0;9;0;9;;;3,0;1;2,8;9;;;;;;;;;0;1;0;1
13054001;20180124;0,0;1;0;9;3,2;1;511;9;16,2;1;1325;9;10,0;1;9,70;1;0,7;1;1,2;1;0;9;13,0;1;9,7;1;1028,3;9;1027,0;9;3,0;1;9,6;1;140;1;1127;9;6,6;1;100;1;1056;9;;;;;;;;;9,5;1;140;1;1127;9;55;1;1350;9;84;1;730;9;0;9;143;9;8,3;1;;;70;9;253;1;590;1;;;;;45;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;;;;;;0;9;0;9;;;1,5;1;1,5;9;;;;;;;;;0;1;0;1
13054001;20180125;0,0;1;0;9;9,7;1;2109;9;15,8;1;1138;9;13,5;1;12,75;1;6,6;1;7,3;1;0;9;6,1;1;12,8;1;1021,7;9;1017,6;9;6,9;1;16,1;1;130;1;1226;9;11,3;1;140;1;1330;9;;;;;;;;;15,4;1;130;1;1226;9;63;1;1320;9;74;1;156;9;0;9;0;9;10,1;1;;;70;9;82;1;513;1;;;;;14;1;;;;;;;;;0;1;0;1;0;9;;;;;;;0;1;;;0;1;0;9;0;9;;;2,2;1;1,9;9;;;;;;;;;0;1;0;1
13054001;20180126;66,6;1;806;9;10,4;1;1739;9;13,8;1;606;9;11,6;1;12,10;1;10,1;1;10,1;1;0;9;3,4;1;12,1;1;1015,4;9;1013,6;9;6,2;1;17,6;1;110;1;957;9;11,7;1;110;1;933;9;;;;;;;;;16,9;1;110;1;957;9;58;1;530;9;95;1;1753;9;0;9;765;9;10,6;1;;;79;9;0;1;47;1;;;;;0;1;;;;;;;;;0;1;0;1;1;9;;;;;;;0;1;;;0;1;0;9;0;9;;;1,7;1;1,5;9;;;;;;;;;0;1;0;1
13054001;20180127;10,5;1;181;9;8,5;1;2009;9;13,6;1;1420;9;9,8;1;11,05;1;7,1;1;7,8;1;0;9;5,1;1;11,1;1;1028,0;9;1018,8;9;2,4;1;7,9;1;340;1;1541;9;6,2;1;350;1;1200;9;;;;;;;;;7,4;1;340;1;1541;9;68;1;1556;9;94;1;2250;9;0;9;1046;9;10,5;1;;;85;9;163;1;395;1;;;;;29;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;;;;;;0;9;1;9;;;1,0;1;1,0;9;;;;;;;;;0;1;0;1
13054001;20180128;0,0;1;19;9;2,4;1;529;9;13,9;1;1448;9;7,0;1;8,15;1;0,1;1;0,6;1;0;9;11,5;1;8,2;1;1035,4;9;1034,5;9;1,9;1;6,8;1;330;1;1620;9;4,8;1;320;1;1626;9;;;;;;;;;6,4;1;330;1;1620;9;57;1;1428;9;97;1;509;9;0;9;867;9;8,0;1;;;82;9;455;1;965;1;;;;;79;1;;;;;;;;;0;1;1;1;0;9;;;;;;;;1;;;;;0;9;1;9;;;1,0;1;1,1;9;;;;;;;;;0;1;0;1
13054001;20180129;0,0;1;0;9;2,7;1;111;9;13,7;1;1446;9;8,3;1;8,20;1;0,8;1;1,6;1;0;9;11,0;1;8,2;1;1033,0;9;1030,5;9;1,3;1;3,9;1;60;1;636;9;3,0;1;130;9;2346;9;;;;;;;;;3,6;1;60;1;636;9;58;1;1505;9;92;1;126;9;0;9;948;9;8,0;1;;;82;9;521;1;986;1;;;;;91;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;;;;;;0;9;1;9;;;0,8;1;0,9;9;;;;;;;;;0;1;0;1
13054001;20180130;0,0;1;0;9;2,8;1;128;9;13,6;1;1359;9;8,0;1;8,20;1;0,3;1;0,8;1;0;9;10,8;1;8,2;1;1028,6;9;1027,1;9;1,9;1;5,3;1;250;1;1450;9;4,3;1;250;1;1341;9;;;;;;;;;5,1;1;250;1;1450;9;56;1;1400;9;95;1;519;9;0;9;791;9;7,9;1;;;79;9;388;1;915;1;;;;;67;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;1;;;;;0;9;1;9;;;1,0;1;1,0;9;;;;;;;;;0;1;0;1
13054001;20180131;0,0;1;;;2,2;1;459;9;12,4;1;1253;9;8,0;1;7,30;1;-0,4;1;0,6;1;0;9;10,2;1;7,3;1;1022,3;9;1015,3;9;1,4;1;5,7;1;30;1;1954;9;3,5;1;80;9;2118;9;;;;;;;;;5,2;1;70;1;2110;9;54;1;1302;9;95;1;334;9;0;9;647;9;7,3;1;;;77;9;356;1;829;1;;;;;61;1;;;;;;;;;;;1;1;0;9;;;;;;;1;1;;;;;;;;;;;0,9;1;0,9;9;;;;;;;;;0;1;0;1
13054001;20180201;1,4;1;199;9;7,1;1;212;9;9,6;1;1204;9;7,9;1;8,35;1;5,3;1;6,1;1;0;9;2,5;1;8,4;1;1008,7;9;1005,4;9;2,6;1;9,8;1;300;1;2337;9;7,5;1;300;9;2338;9;;;;;;;;;9,6;1;300;1;2337;9;64;1;2058;9;91;1;858;9;0;9;1120;9;8,4;1;;;83;9;0;1;249;1;;;;;0;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;;;;;;0;9;1;9;;;1,0;1;0,9;9;;;;;;;;;0;1;0;1
13054001;20180202;0,0;1;0;9;4,4;1;709;9;8,5;1;1304;9;6,4;1;6,45;1;3,5;1;3,9;1;0;9;4,1;1;6,5;1;1004,6;9;1003,6;9;8,1;1;18,7;1;320;1;2332;9;13,7;1;320;9;2341;9;;;;;;;;;17,4;1;320;1;2332;9;49;1;1545;9;72;1;600;9;0;9;0;9;5,7;1;;;60;9;27;1;470;1;;;;;5;1;;;;;;;;;0;1;0;1;0;9;;;;;;;0;1;;;0;1;0;9;0;9;;;2,2;1;1,8;9;;;;;;;;;0;1;0;1
13054001;20180203;0,0;1;0;9;4,9;1;509;9;9,6;1;1314;9;6,4;1;7,25;1;4,1;1;4,4;1;0;9;4,7;1;7,3;1;1006,5;9;1003,6;9;10,4;1;21,2;1;330;1;1220;9;15,7;1;310;1;1123;9;;;;;;;;;20,3;1;290;1;556;9;39;1;1450;9;66;1;726;9;29;9;0;9;5,2;1;;;55;9;517;1;1084;1;;;;;88;1;;;;;;;;;0;1;0;1;0;9;;;;;;;0;1;;;0;1;0;9;0;9;;;2,9;1;2,6;9;;;;;;;;;0;1;0;1
13054001;20180204;2,4;1;126;9;-0,6;1;621;9;11,6;1;1441;9;6,2;1;5,50;1;-3,2;1;-2,4;1;91;9;12,2;1;5,5;1;1013,0;9;1009,9;9;2,0;1;6,1;1;50;1;2225;9;4,3;1;270;1;251;9;;;;;;;;;5,7;1;50;1;2225;9;40;1;1123;9;81;1;435;9;1;9;65;9;5,1;1;;;62;9;514;1;1097;1;;;;;87;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;;;;;;0;9;0;9;;;1,3;1;1,3;9;;;;;;;;;0;1;0;1
13054001;20180205;0,6;1;176;9;6,0;1;1846;9;12,7;1;1447;9;9,8;1;9,35;1;4,1;1;4,8;1;0;9;6,7;1;9,4;1;1013,0;9;1011,8;9;6,6;1;16,1;1;60;1;517;9;11,2;1;80;1;516;9;;;;;;;;;15,3;1;60;1;517;9;52;1;1349;9;85;1;403;9;0;9;46;9;7,8;1;;;66;9;36;1;420;1;;;;;6;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;;;;0;1;0;9;0;9;;;2,0;1;1,9;9;;;;;;;;;0;1;0;1
13054001;20180206;3,0;1;366;9;7,5;1;1747;9;10,8;1;1002;9;8,5;1;9,15;1;6,7;1;6,9;1;0;9;3,3;1;9,2;1;1008,5;9;1006,6;9;4,7;1;12,5;1;80;1;549;9;8,4;1;80;1;246;9;;;;;;;;;12,2;1;80;1;549;9;60;1;1;9;88;1;1805;9;0;9;603;9;8,4;1;;;75;9;0;1;244;1;;;;;0;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;;;;;;0;9;0;9;;;1,4;1;1,3;9;;;;;;;;;0;1;0;1
13054001;20180207;0,0;1;0;9;2,2;1;638;9;7,5;1;1244;9;4,2;1;4,85;1;1,6;1;1,7;1;0;9;5,3;1;4,9;1;1010,7;9;1007,6;9;9,3;1;18,1;1;320;1;1445;9;13,4;1;300;1;1253;9;;;;;;;;;17,4;1;320;1;1410;9;52;1;1221;9;82;1;1;9;0;9;97;9;5,6;1;;;63;9;519;1;1140;1;;;;;87;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;;;;;;0;9;0;9;;;1,9;1;1,7;9;;;;;;;;;0;1;0;1
13054001;20180208;0,0;1;0;9;2,5;1;246;9;7,8;1;1332;9;3,9;1;5,15;1;1,9;1;2,1;1;14;9;5,3;1;5,2;1;1017,2;9;1015,1;9;6,1;1;14,6;1;290;1;158;9;10,6;1;290;1;27;9;;;;;;;;;14,4;1;290;1;158;9;53;1;1338;9;82;1;2358;9;0;9;7;9;5,8;1;;;65;9;365;1;982;1;;;;;61;1;;;;;;;;;0;1;0;1;0;9;;;;;;;;;;;;;0;9;0;9;;;1,6;1;1,5;9;;;;;;;;;0;1;0;1
13054001;20180209;0,0;1;0;9;-3,0;1;601;9;7,9;1;1432;9;2,6;1;2,45;1;-4,2;1;-4,1;1;463;9;10,9;1;2,5;1;1016,4;9;1014,0;9;2,2;1;7,4;1;270;1;1556;9;5,6;1;270;1;1557;9;;;;;;;;;7,3;1;270;1;1556;9;54;1;1602;9;89;1;240;9;0;9;506;9;5,1;1;;;73;9;543;1;1136;1;;;;;90;1;;;;;;;;;0;1;0;1;0;9;;;;;;;1;1;;;;;0;9;0;9;;;1,0;1;1,1;9;;;;;;;;;0;1;0;1
13054001;20180210;0,0;1;0;9;2,1;1;2221;9;9,7;1;1206;9;6,0;1;5,90;1;0,2;1;0,5;1;0;9;7,6;1;5,9;1;1014,0;9;1012,4;9;7,4;1;15,2;1;310;1;1650;9;10,2;1;320;1;1411;9;;;;;;;;;14,6;1;310;1;1610;9;45;1;1236;9;73;1;18;9;0;9;0;9;5,3;1;;;57;9;469;1;1101;1;;;;;77;1;;;;;;;;;0;1;0;1;0;9;;;;;;;0;1;;;0;1;0;9;0;9;;;2,3;1;2,3;9;;;;;;;;;0;1;0;1
13054001;20180211;0,0;1;0;9;2,8;1;142;9;11,0;1;1321;9;6,7;1;6,90;1;1,7;1;2,0;1;0;9;8,2;1;6,9;1;1013,3;9;1011,1;9;3,3;1;9,5;1;300;1;2226;9;7,1;1;320;1;1;9;;;;;;;;;9,2;1;300;1;2226;9;41;1;1119;9;83;1;1958;9;0;9;45;9;5,8;1;;;62;9;298;1;988;1;;;;;49;1;;;;;;;;;0;1;0;1;0;9;;;;;;;0;1;;;0;1;0;9;0;9;;;1,7;1;1,7;9;;;;;;;;;0;1;0;1
13054001;20180212;0,0;1;0;9;4,9;1;328;9;9,0;1;1205;9;6,4;1;6,95;1;3,4;1;3,8;1;0;9;4,1;1;7,0;1;1014,4;9;1012,9;9;10,2;1;23,1;1;310;1;1401;9;17,7;1;320;1;1410;9;;;;;;;;;22,2;1;310;1;1410;9;33;1;1325;9;78;1;30;9;352;9;0;9;5,3;1;;;53;9;571;1;1296;1;;;;;93;1;;;;;;;;;0;1;0;1;0;9;;;;;;;0;1;;;0;1;0;9;0;9;;;2,8;1;2,6;9;;;;;;;;;0;1;0;1
13054001;20180213;0,0;1;0;9;-2,9;1;613;9;8,2;1;1340;9;4,0;1;2,65;1;-4,7;1;-4,7;1;174;9;11,1;1;2,7;1;1013,9;9;1012,1;9;2,5;1;8,8;1;350;1;7;9;6,7;1;340;1;8;9;;;;;;;;;8,4;1;350;1;10;9;30;1;1201;9;74;1;616;9;234;9;0;9;3,5;1;;;51;9;404;1;1130;1;;;;;66;1;;;;;;;;;0;1;0;1;0;9;;;;;;;0;1;;;0;1;0;9;0;9;;;1,5;1;1,5;9;;;;;;;;;0;1;0;1
