POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
13054001;19910101;0,0;1;;;5,5;1;755;1;11,2;1;1305;1;8,3;1;8,35;1;5,2;1;6,5;1;0;1;5,7;1;8,4;1;1023,4;1;;;7,5;1;19,0;1;340;1;1255;1;15,0;1;340;1;1320;1;;;;;;;;;17,8;1;340;1;1255;1;53;1;1305;1;100;1;0;1;0;1;594;1;8,0;1;;;77;1;360;1;734;1;227;1;;;67;1;;;;;8;1;150;1;0;1;1;1;0;1;0;1;0;1;0;1;0;9;0;9;0;1;0;9;1;9;0;9;1,5;1;1,5;9;;;;;;;;;0;1;;
13054001;19910102;0,0;1;;;1,9;1;310;1;11,0;1;1250;1;5,7;1;6,45;1;-0,4;1;0,4;1;0;1;9,1;1;6,5;1;1025,0;1;;;1,6;1;7,0;1;20;1;150;1;6,0;1;360;1;205;1;;;;;;;;;6,7;1;20;1;150;1;55;1;1245;1;89;1;2350;1;0;1;576;1;6,7;1;;;77;1;258;1;635;1;388;1;;;48;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;0;1;0;9;0;9;0;1;0;9;0;9;0;9;0,7;1;0,8;9;;;;;;;;;0;1;;
13054001;19910103;0,0;1;;;2,4;1;525;1;14,1;1;1430;1;8,0;1;8,25;1;-0,9;1;0,8;1;0;1;11,7;1;8,3;1;1021,3;1;;;2,9;1;8,0;1;140;1;1835;1;7,0;1;140;1;1835;1;;;;;;;;;7,6;1;140;1;1835;1;70;1;1535;1;96;1;805;1;0;1;1074;1;9,1;1;;;84;1;474;1;704;1;180;1;;;88;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;0;1;0;9;0;9;0;1;0;9;0;9;0;9;0,8;1;0,8;9;;;;;;;;;0;1;;
13054001;19910104;0,0;1;;;8,2;1;1759;1;12,1;1;1230;1;10,1;1;10,15;1;6,8;1;8,4;1;0;1;3,9;1;10,2;1;1019,6;1;;;5,3;1;13,0;1;320;1;2150;1;12,0;1;320;1;2205;1;;;;;;;;;12,3;1;320;1;2150;1;67;1;2200;1;92;1;1410;1;0;1;840;1;9,7;1;;;79;1;0;1;289;1;273;1;;;0;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;0;1;0;9;0;9;0;1;0;9;0;9;0;9;1,2;1;1,4;9;;;;;;;;;0;1;;
13054001;19910105;0,0;1;;;3,2;1;415;1;11,0;1;1420;1;5,8;1;7,10;1;-1,0;1;0,6;1;0;1;7,8;1;7,1;1;1023,8;1;;;6,1;1;12,0;1;320;1;800;1;11,0;1;320;1;805;1;;;;;;;;;11,4;1;320;1;800;1;50;1;1350;1;87;1;2350;1;0;1;174;1;6,6;1;;;71;1;516;1;794;1;137;1;;;96;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;0;1;0;9;0;9;0;1;0;9;0;9;0;9;1,6;1;1,6;9;;;;;;;;;0;1;;
13054001;19910106;0,0;1;;;2,3;1;2325;1;12,7;1;1510;1;6,3;1;7,50;1;-1,3;1;0,4;1;0;1;10,4;1;7,5;1;1019,0;1;;;1,6;1;6,0;1;260;1;1255;1;5,0;1;260;1;1305;1;;;;;;;;;5,7;1;260;1;1255;1;66;1;1510;1;92;1;755;1;0;1;1140;1;8,2;1;;;84;1;300;1;676;1;328;1;;;56;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;0;1;0;9;0;9;0;1;0;9;0;9;0;9;0,6;1;0,6;9;;;;;;;;;0;1;;
13054001;19910107;0,0;1;;;7,4;1;1840;1;12,2;1;1215;1;9,5;1;9,80;1;3,6;1;5,2;1;0;1;4,8;1;9,8;1;1014,7;1;;;2,1;1;6,0;1;100;1;225;1;5,0;1;100;1;230;1;;;;;;;;;5,7;1;100;1;225;1;69;1;1355;1;92;1;2355;1;0;1;858;1;9,6;1;;;81;1;0;1;381;1;361;1;;;0;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;0;1;0;9;0;9;0;1;0;9;0;9;0;9;0,8;1;0,8;9;;;;;;;;;0;1;;
13054001;19910108;0,0;1;;;2,8;1;725;1;14,4;1;1455;1;7,0;1;8,60;1;-0,3;1;1,4;1;0;1;11,6;1;8,6;1;1018,7;1;;;1,8;1;9,0;1;120;1;2205;1;6,0;1;140;1;2210;1;;;;;;;;;8,6;1;120;1;2205;1;59;1;1455;1;98;1;845;1;0;1;1170;1;8,5;1;;;86;1;474;1;739;1;209;1;;;88;1;;;;;;;;;0;1;1;1;0;1;0;1;0;1;0;1;0;9;0;9;0;1;0;9;1;9;0;9;0,7;1;0,7;9;;;;;;;;;0;1;;
13054001;19910109;0,0;1;;;4,5;1;2155;1;15,8;1;1420;1;11,2;1;10,15;1;0,5;1;2,5;1;0;1;11,3;1;10,2;1;1020,6;1;;;5,1;1;13,0;1;140;1;155;1;11,0;1;140;1;205;1;;;;;;;;;12,3;1;140;1;155;1;62;1;1505;1;94;1;1940;1;0;1;576;1;9,5;1;;;79;1;270;1;587;1;251;1;;;50;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;0;1;0;9;0;9;0;1;0;9;0;9;0;9;1,4;1;1,4;9;;;;;;;;;0;1;;
13054001;19910110;0,0;1;;;7,0;1;1850;1;16,1;1;1320;1;11,9;1;11,55;1;3,9;1;6,0;1;0;1;9,1;1;11,6;1;1024,2;1;;;5,1;1;13,0;1;120;1;955;1;10,0;1;140;1;1020;1;;;;;;;;;12,3;1;120;1;955;1;70;1;1325;1;92;1;120;1;0;1;840;1;11,0;1;;;81;1;138;1;413;1;340;1;;;25;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;1;1;0;9;0;9;0;1;0;9;0;9;0;9;1,3;1;1,3;9;;;;;;;;;0;1;;
