POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
13054001;19880101;0,2;1;;;8,8;1;700;1;12,1;1;1345;1;9,7;1;10,45;1;7,2;1;;;;;3,3;1;10,5;1;1016,7;1;;;3,1;1;12,0;1;320;1;1710;1;8,0;1;320;1;1755;1;;;;;;;;;11,4;1;320;1;1710;1;75;1;1555;1;99;1;900;1;;;;;10,9;1;;;91;1;282;1;550;1;351;1;;;53;1;;;;;;;;;0;1;1;1;0;1;0;1;0;1;;;;;;;;;;;;;;;0,6;1;0,7;9;;;;;;;;;0;1;;
13054001;19880102;0,0;1;;;3,8;1;430;1;14,1;1;1425;1;8,1;1;8,95;1;1,6;1;;;;;10,3;1;9,0;1;1016,6;1;;;1,5;1;4,0;1;120;1;1845;1;4,0;1;120;1;1845;1;;;;;;;;;3,8;1;120;1;1845;1;78;1;1420;1;97;1;650;1;;;;;10,2;1;;;91;1;246;1;560;1;380;1;;;46;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;0,5;1;0,6;9;;;;;;;;;0;1;;
13054001;19880103;0,4;1;;;5,4;1;835;1;13,0;1;1330;1;9,2;1;9,20;1;2,9;1;;;;;7,6;1;9,2;1;1010,4;1;;;2,8;1;19,0;1;340;1;2120;1;13,0;1;340;1;2128;1;;;;;;;;;17,8;1;340;1;2120;1;72;1;1445;1;99;1;500;1;;;;;9,8;1;;;87;1;204;1;479;1;352;1;;;38;1;;;;;;;;;0;1;0;1;1;1;0;1;0;1;;;;;;;;;;;;;;;0,7;1;0,9;9;;;;;;;;;0;1;;
13054001;19880104;0,0;1;;;3,1;1;715;1;13,2;1;1545;1;7,7;1;8,15;1;-0,6;1;;;;;10,1;1;8,2;1;1016,8;1;;;3,4;1;12,0;1;300;1;50;1;10,0;1;300;1;55;1;;;;;;;;;11,4;1;300;1;50;1;72;1;1350;1;95;1;2250;1;;;;;9,1;1;;;85;1;114;1;375;1;323;1;;;21;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;0,9;1;1,1;9;;;;;;;;;0;1;;
13054001;19880105;0,0;1;;;5,5;1;415;1;15,1;1;1210;1;10,6;1;10,30;1;1,8;1;;;;;9,6;1;10,3;1;1016,4;1;;;4,0;1;14,0;1;100;1;2345;1;10,0;1;100;1;2255;1;;;;;;;;;13,2;1;100;1;2345;1;70;1;1005;1;97;1;430;1;;;;;10,4;1;;;84;1;282;1;550;1;357;1;;;52;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;1,0;1;1,0;9;;;;;;;;;0;1;;
13054001;19880106;0,0;1;;;11,0;1;1800;1;15,0;1;1015;1;12,7;1;13,00;1;9,8;1;;;;;4,0;1;13,0;1;1013,8;1;;;6,6;1;18,0;1;140;1;905;1;13,0;1;140;1;910;1;;;;;;;;;16,9;1;140;1;905;1;77;1;1305;1;92;1;2140;1;;;;;12,6;1;;;84;1;42;1;350;1;322;1;;;7;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;1,2;1;1,4;9;;;;;;;;;0;1;;
13054001;19880107;0,0;1;;;2,9;1;610;1;11,4;1;1320;1;7,2;1;7,15;1;-1,0;1;;;;;8,5;1;7,2;1;1020,2;1;;;6,0;1;19,0;1;320;1;2325;1;16,0;1;320;1;2345;1;;;;;;;;;17,8;1;320;1;2325;1;48;1;1415;1;96;1;505;1;;;;;6,8;1;;;76;1;486;1;764;1;162;1;;;90;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;1,5;1;1,8;9;;;;;;;;;0;1;;
13054001;19880108;0,0;1;;;4,7;1;755;1;8,6;1;1235;1;5,5;1;6,65;1;3,0;1;;;;;3,9;1;6,7;1;1025,7;1;;;9,4;1;19,0;1;340;1;640;1;16,0;1;340;1;710;1;;;;;;;;;17,8;1;340;1;640;1;56;1;1215;1;87;1;2310;1;;;;;6,8;1;;;73;1;402;1;664;1;312;1;;;74;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;1,6;1;1,6;9;;;;;;;;;0;1;;
13054001;19880109;0,0;1;;;-1,2;1;310;1;11,5;1;1535;1;4,1;1;5,15;1;-4,8;1;;;;;12,7;1;5,2;1;1029,1;1;;;1,1;1;4,0;1;140;1;2200;1;3,0;1;140;1;2205;1;;;;;;;;;3,8;1;140;1;2200;1;59;1;1540;1;94;1;2335;1;;;;;6,6;1;;;83;1;354;1;649;1;346;1;;;65;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;0,5;1;0,7;9;;;;;;;;;0;1;;
13054001;19880110;0,0;1;;;1,9;1;405;1;11,1;1;1215;1;6,0;1;6,50;1;-2,0;1;;;;;9,2;1;6,5;1;1027,4;1;;;1,0;1;3,0;1;120;1;135;1;3,0;1;120;1;140;1;;;;;;;;;2,9;1;120;1;135;1;73;1;1215;1;97;1;700;1;;;;;8,2;1;;;86;1;102;1;518;1;347;1;;;18;1;;;;;;;;;0;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;0,5;1;0,6;9;;;;;;;;;0;1;;
